Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
234184,"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,"Goodkind, Terry",,"=""0312857063""","=""9780312857066""",4.0,Tor Books,Hardcover,703,1995,1995,,2014/02/11,,,read,,,,1,0
43889,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"Goodkind, Terry",,"=""0765346524""","=""9780765346520""",4.0,Tor Books,Mass Market Paperback,836,2003,1994,,2014/02/11,,,read,,,,1,0
18405221,"Queen of Fire (Raven's Shadow, #3)",Anthony Ryan,"Ryan, Anthony",,"=""1101612983""","=""9781101612989""",0,Ace,Kindle Edition,643,2015,2015,,2014/02/11,to-read,to-read (#15),to-read,,,,0,0
18138189,"Tower Lord (Raven's Shadow, #2)",Anthony Ryan,"Ryan, Anthony",,"=""0425265625""","=""9780425265628""",0,Ace Hardcover,Hardcover,608,2014,2014,,2014/02/11,to-read,to-read (#14),to-read,,,,0,0
944076,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077905""","=""9780575077904""",5.0,Gollancz,Paperback,536,2008,2008,,2014/02/11,,,read,,,,1,0
902715,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077883""","=""9780575077881""",4.0,Gollancz,Paperback,580,2007,2007,,2014/02/11,,,read,,,,1,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",4.0,Gollancz,Paperback,515,2007,2006,,2014/02/11,,,read,,,,1,0
18966322,"Mitosis (The Reckoners, #1.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0449818438""","=""9780449818435""",0,Delacorte Press,ebook,55,2013,2013,,2014/02/10,to-read,to-read (#13),to-read,,,,0,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",4.0,Tor Books,Hardcover,572,2008,2008,,2014/02/10,,,read,,,,1,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",5.0,Tor Books,Hardcover,590,2007,2007,,2014/02/10,,,read,,,,1,0
18905585,Der Keller (Ödland #1),Christoph Zachariae,"Zachariae, Christoph",Colin M. Winkler,"=""""","=""""",4.0,LUCID DREAMS,Kindle Edition,261,2013,2012,,2014/02/10,,,read,,,,1,0
